provincia,id,tipo,comune,corso_acqua,tratto,regola,geometria,lunghezza_m,fonte
VCO,VCO-CON-05,concessione,Omegna,Lago d'Orta,tratto di lago in Comune di Omegna - tessera FIPSAS,,marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-FIPSAS-09,concessione,Omegna,Scaricatore Nigoglia,dalle porte del Lago d'Orta al torrente Strona - gestione FIPSAS,acque in concessione FIPSAS VCO (serve tessera/permesso FIPSAS),marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-CON-01,concessione,Verbania,Fiume Toce,dal ponte di Migiandone alla confluenza con il Lago Maggiore - gestione FIPSAS (tessera),,intero-corso,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-CON-03,concessione,Verbania,Lago Maggiore,tratto VCO del Lago Maggiore - tessera FIPSAS,,intero-corso,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-CON-04,concessione,Verbania,Lago Maggiore (Pallanza),tratto di Pallanza gestito dall'Associazione LA RIVA - tessera associativa,,marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DDEP-01,ddep,Verbania,Lago Maggiore (Suna),tratto di Suna - diritto esclusivo di pesca ex Cuzzi Lamberti,,marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-01,divieto,Baceno,Torrente Devero,dal ponte della Segheria in fraz. Osso al Rio Agaro compreso fino alla cascata,divieto di pesca,linea (media),3953,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-02,divieto,Baceno,"Lanche e rii (Lanca Piana Devero, Lanca Alpe Crampiolo, Rio Graglia, Rio Osso)",specchi e rii in Comune di Baceno,divieto di pesca,marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-03,divieto,Beura-Cardezza,Rio Crucito',dalla strada prov.le Beura-Cuzzego a monte fino alla chiesa fraz. Cardezza,divieto di pesca,marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-04,divieto,Bognanco,Torrente Bogna,tratto di 1 km dalla prima briglia fino allo sbarramento ENEL in loc. Torno,divieto di pesca,linea (media),1027,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-36,divieto,Cannobio,Torrente Cannobino,divieto di pesca permanente alla foce nel Lago Maggiore,divieto di pesca,marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-05,divieto,Ceppo Morelli,Rio Crotto Tignaga,~150 m tra la passerella di legno a monte dello sbocco nel torrente Anza a valle,divieto di pesca,linea (media),144,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-06,divieto,Craveggia,Torrente Melezzo Orientale,tratto laterale tra il ponte in loc. Prestinone e la 4^ briglia a monte,divieto di pesca,linea (alta),654,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-07,divieto,Craveggia,Acquette di Zornasco,dalla sorgente risorgiva fino alla confluenza con il Melezzo Orientale (briglia sup. al ponte SP per Craveggia),divieto di pesca,marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-08,divieto,Crevoladossola,Fiume Toce,dallo sbarramento ENEL di Crevola (lago Tana) fino al ponte SP Via Valle Vigezzo per ~150 m,divieto di pesca,linea (media),151,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-09,divieto,Crodo,Canale di Crego / Lanca di Verampio,canale e lanca in Comune di Crodo,divieto di pesca,marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-10,divieto,Crodo,Rio Vegno,dalla localita Vegno alla confluenza con il Toce,divieto di pesca,marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-11,divieto,Domodossola,Rio Anzuno,dal ponte della strada Calice-Gabi Valle fino alla foce,divieto di pesca,linea (bassa),5276,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-12,divieto,Domodossola,Vecchia Lanca della Siberia,rio che attraversa la piana loc. Siberia e sfocia nel Toce (svincolo superstrada),divieto di pesca,marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-13,divieto,Formazza,Fiume Toce,dal ponte della frazione Valdo al ponte della frazione S. Michele,divieto di pesca,linea (media),3582,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-14,divieto,Formazza,Fiume Toce,dalla dighetta di Brendo alla frazione Valdo,divieto di pesca,marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-15,divieto,Formazza,Lanche di Fondovalle,specchi d'acqua di fondovalle in Comune di Formazza,divieto di pesca,marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-16,divieto,Macugnaga,Rio Fula,frazione Pecetto per una lunghezza di 400 m,divieto di pesca,marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-17,divieto,Macugnaga,Rio Isella,frazione Isella per una lunghezza di 100 m,divieto di pesca,marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-18,divieto,Malesco,Torrente Melezzo Orientale,"tra la confluenza dei torrenti Isornino, Loana e Melezzo Orientale fino alla briglia a valle del ponte del Gabbio",divieto di pesca,linea (media),7598,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-35,divieto,Malesco,Torrente Melezzo Orientale,lanca sponda orografica destra dalle acque minerali al ponte di Mugnago (Comuni di Villette e Malesco),divieto di pesca,linea (media),5597,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-19,divieto,Mergozzo,Rio Resega,tratto terminale (80 m) dalla cascata alla foce nel lago,divieto di pesca,marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-20,divieto,Montecrestese,Rio Vigna Albera,tratto di 2 km dalla frazione Nava alla frazione Roledo,divieto di pesca,marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-21,divieto,Piedimulera,Torrente Anza,dalla traversa Edison (scala di risalita pesci) a valle fino al ponte della SP per Pieve Vergonte,divieto di pesca,linea (media),7526,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-22,divieto,Pieve Vergonte,Rio Santa Maria,dalla loc. Al Piano fino alla confluenza con il torrente Marmazza in fraz. Fomarco Basso,divieto di pesca,marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-23,divieto,Pieve Vergonte,Canale di Megolo,50 m dal primo ponte dopo la centrale,divieto di pesca,marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-24,divieto,Premia,"Lanche e Rio dei Gamberi (Lanca del Passo, della Passerella, del Pissero, San Rocco, Fornace, Fnera)",specchi d'acqua e rio in Comune di Premia,divieto di pesca,marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-25,divieto,Premia,Fiume Toce,"da 100 m a monte del ponte per la centrale di Crego fino alla confluenza con il torrente Deverino (Comuni di Premia, Baceno, Crodo)",divieto di pesca,linea (bassa),5131,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-26,divieto,Premosello-Chiovenda,Fiume Toce,"sotto il ponte di Migiandone, lungo la rampa di risalita, fino a 20/30 m oltre il ponte (Comuni di Premosello e Ornavasso)",divieto di pesca,linea (media),140,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-27,divieto,Re,Rio Valle degli Orti,tratto finale dalla cascata a monte del ponte sulla SS 337 fino alla confluenza con il Melezzo Orientale,divieto di pesca,marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-28,divieto,San Bernardino Verbano,Torrente San Bernardino,dal ponte della Segheria di Santino alla prima diga a monte,divieto di pesca,linea (bassa),1964,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-29,divieto,Trasquera,Torrente Diveria,"loc. Iselle dalla cava Tomola verso il confine svizzero fino al termine dell'abitato, per 500 m",divieto di pesca,linea (media),548,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-30,divieto,Varzo,Torrente Ri,dalla frazione Bassogno alla foce,divieto di pesca,linea (media),693,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-31,divieto,Varzo,Rio Cattagna,dalla sorgente alla foce,divieto di pesca,linea (alta),262,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-32,divieto,Varzo,Rio Sciollo,frazione Fontana per 600 m dalla sorgente all'immissione nel torrente Diveria,divieto di pesca,marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-33,divieto,Verbania,Torrente San Bernardino,"vicino alla nuova scala di risalita, divieto di 50 m sia sotto che sopra",divieto di pesca,linea (bassa),100,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-34,divieto,Verbania,Rio Gabbiane,dalla foce sul fiume San Bernardino fino alla cava di inerti a monte,divieto di pesca,marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-37,divieto,Verbania,Torrente San Giovanni,divieto alla foce dalla 1a domenica di settembre alla 1a domenica di marzo,divieto di pesca,marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-38,divieto,Verbania,Fiume Toce,divieto permanente alla foce nel Lago Maggiore (+ limitazioni ord. 1/15),divieto di pesca,marker,,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-DIV-39,divieto,Verbania,Torrente San Bernardino,divieto permanente dal ponte della SS 34 alla foce e alla foce,divieto di pesca,linea (alta),377,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-FIPSAS-01,no_kill,Premia,Fiume Toce,zona no-kill FIPSAS (divieto di trattenere temoli),acque in concessione FIPSAS VCO (serve tessera/permesso FIPSAS),linea (bassa),7218,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-RIS-01,riserva,San Bernardino Verbano,Torrente San Bernardino,Riserva San Bernardino - zona no-kill a mosca (cap. 4.8 libretto),,linea (bassa),5873,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
VCO,VCO-FIPSAS-05,turistica,Varzo,Torrente Diveria,da frazione Balbalonesca al ponte Romano; zona di pesca turistica presso Spagna - FIPSAS,acque in concessione FIPSAS VCO (serve tessera/permesso FIPSAS),linea (media),1250,Libretto del pescatore VCO (giugno 2022) - Provincia del Verbano Cusio Ossola; divieti Decreto Presidente n.119/2019 e s.m.i.; Lago Maggiore Convenzione italo-svizzera
Valle d'Aosta,VDA-NK-05,no_kill,Avise,Torrente Vertosan,tratto no-kill: tutto il corso dalle sorgenti alla confluenza in Dora Baltea,riserva/tratto gestito dal Consorzio Pesca Valle d'Aosta - serve permesso,linea (alta),6616,"Calendario Ittico 2026 Regione Valle d'Aosta + Consorzio Pesca VdA (pescavda.it) - Art.15 riserve, Art.16 no-kill"
Valle d'Aosta,VDA-NK-04,no_kill,Brusson,Torrente Evançon,tratto no-kill: dal ponte-canale 50m a valle della presa al ponte di Allésaz (Challand-Saint-Anselme) + torrente Graine,riserva/tratto gestito dal Consorzio Pesca Valle d'Aosta - serve permesso,linea (bassa),4131,"Calendario Ittico 2026 Regione Valle d'Aosta + Consorzio Pesca VdA (pescavda.it) - Art.15 riserve, Art.16 no-kill"
Valle d'Aosta,VDA-NK-02,no_kill,Cogne,Torrente Grand Eyvia,tratto no-kill: dal ponte di Laval al ponte di Brenvé (di fronte al campo di calcio),riserva/tratto gestito dal Consorzio Pesca Valle d'Aosta - serve permesso,linea (media),627,"Calendario Ittico 2026 Regione Valle d'Aosta + Consorzio Pesca VdA (pescavda.it) - Art.15 riserve, Art.16 no-kill"
Valle d'Aosta,VDA-NK-01,no_kill,Pré-Saint-Didier,Dora di La Thuile,tratto no-kill: dal ponte SS loc. Balma al ponte per la centrale Torrent (fraz. Elévaz),riserva/tratto gestito dal Consorzio Pesca Valle d'Aosta - serve permesso,linea (alta),637,"Calendario Ittico 2026 Regione Valle d'Aosta + Consorzio Pesca VdA (pescavda.it) - Art.15 riserve, Art.16 no-kill"
Valle d'Aosta,VDA-NK-03,no_kill,Saint-Marcel,Fiume Dora Baltea,tratto no-kill: dallo sbarramento CVA (Saint-Marcel) al ponte per le frazioni dell'envers (Chambave) - Comuni Chambave/Fénis/Nus/Saint-Marcel/Verrayes,riserva/tratto gestito dal Consorzio Pesca Valle d'Aosta - serve permesso,marker,,"Calendario Ittico 2026 Regione Valle d'Aosta + Consorzio Pesca VdA (pescavda.it) - Art.15 riserve, Art.16 no-kill"
Valle d'Aosta,VDA-RIS-02,riserva,La Thuile,Lago Verney,riserva speciale a cattura: lago Verney,riserva/tratto gestito dal Consorzio Pesca Valle d'Aosta - serve permesso,marker,,"Calendario Ittico 2026 Regione Valle d'Aosta + Consorzio Pesca VdA (pescavda.it) - Art.15 riserve, Art.16 no-kill"
Valle d'Aosta,VDA-RIS-01,riserva,Valpelline,Torrente Buthier,riserva speciale a cattura: dal ponte loc. Crousa allo sbarramento CVA loc. Plan de la Ressa,riserva/tratto gestito dal Consorzio Pesca Valle d'Aosta - serve permesso,linea (bassa),1569,"Calendario Ittico 2026 Regione Valle d'Aosta + Consorzio Pesca VdA (pescavda.it) - Art.15 riserve, Art.16 no-kill"
Valle d'Aosta,VDA-TUR-04,turistica,Brusson,Torrente Evançon,riserva turistica: dal ponte carrabile loc. Goen al ponte stradale Lille (a monte sbarramento di Brusson),riserva/tratto gestito dal Consorzio Pesca Valle d'Aosta - serve permesso,linea (bassa),2083,"Calendario Ittico 2026 Regione Valle d'Aosta + Consorzio Pesca VdA (pescavda.it) - Art.15 riserve, Art.16 no-kill"
Valle d'Aosta,VDA-TUR-05,turistica,Champorcher,Torrente Ayasse,riserva turistica: da valle delle cascate (ex centralina Brun) alla presa del canale irriguo del Mellier,riserva/tratto gestito dal Consorzio Pesca Valle d'Aosta - serve permesso,linea (bassa),7090,"Calendario Ittico 2026 Regione Valle d'Aosta + Consorzio Pesca VdA (pescavda.it) - Art.15 riserve, Art.16 no-kill"
Valle d'Aosta,VDA-TUR-01,turistica,Cogne,Torrente Urtier,riserva turistica a cattura: dalla confluenza con il torrente Valeille al piazzale in loc. Moulon,riserva/tratto gestito dal Consorzio Pesca Valle d'Aosta - serve permesso,linea (bassa),3019,"Calendario Ittico 2026 Regione Valle d'Aosta + Consorzio Pesca VdA (pescavda.it) - Art.15 riserve, Art.16 no-kill"
Valle d'Aosta,VDA-TUR-06,turistica,Gressoney-La-Trinité,Torrente Lys,riserva turistica: dal ponte di Betta al ponte di attraversamento della strada regionale,riserva/tratto gestito dal Consorzio Pesca Valle d'Aosta - serve permesso,linea (media),706,"Calendario Ittico 2026 Regione Valle d'Aosta + Consorzio Pesca VdA (pescavda.it) - Art.15 riserve, Art.16 no-kill"
Valle d'Aosta,VDA-TUR-02,turistica,Saint-Rhémy-en-Bosses,Torrente Artanavaz,riserva turistica: dal ponte a valle della confluenza col Saint-Rhémy (loc. Cerisey) all'opera di derivazione idroelettrica loc. l'Ilette (Etroubles),riserva/tratto gestito dal Consorzio Pesca Valle d'Aosta - serve permesso,linea (alta),713,"Calendario Ittico 2026 Regione Valle d'Aosta + Consorzio Pesca VdA (pescavda.it) - Art.15 riserve, Art.16 no-kill"
Valle d'Aosta,VDA-TUR-07,turistica,Saint-Vincent,Lago La Palud,riserva turistica: lago presso il Col de Joux,riserva/tratto gestito dal Consorzio Pesca Valle d'Aosta - serve permesso,marker,,"Calendario Ittico 2026 Regione Valle d'Aosta + Consorzio Pesca VdA (pescavda.it) - Art.15 riserve, Art.16 no-kill"
Valle d'Aosta,VDA-TUR-03,turistica,Valtournenche,Lago di Maen,riserva turistica: lago allo sbarramento idroelettrico di Ussin (loc. Maen),riserva/tratto gestito dal Consorzio Pesca Valle d'Aosta - serve permesso,marker,,"Calendario Ittico 2026 Regione Valle d'Aosta + Consorzio Pesca VdA (pescavda.it) - Art.15 riserve, Art.16 no-kill"
Vercelli,VC-SVPS-06,no_kill,Campertogno,Fiume Sesia,"Riserva delle Piode, mosca catch&release: da Pila a Campertogno (7 km) - SVPS",acque gestite SVPS (Soc. Valsesiana Pescatori Sportivi) - serve permesso/tessera,linea (media),7324,"Zone protezione e no-kill Provincia di Vercelli, Decreto Presidente n.25 del 21/03/2024 (valide 2024-2028)"
Vercelli,VC-SVPS-04,no_kill,Cravagliana,Torrente Mastallone,"Riserva La Selva, mosca no-kill: dal confine inferiore di Cravagliana con Varallo al ponte di Pianaronda - SVPS",acque gestite SVPS (Soc. Valsesiana Pescatori Sportivi) - serve permesso/tessera,linea (media),5159,"Zone protezione e no-kill Provincia di Vercelli, Decreto Presidente n.25 del 21/03/2024 (valide 2024-2028)"
Vercelli,VC-NK-02,no_kill,Formigliana,Torrente Cervo,dal ponte della SP Formigliana-Buronzo a valle per 1500 m fino alla diga naturale,"no-kill, rilascio obbligatorio",linea (media),1561,"Zone protezione e no-kill Provincia di Vercelli, Decreto Presidente n.25 del 21/03/2024 (valide 2024-2028)"
Vercelli,VC-NK-03,no_kill,Pezzana,Roggia Bona,dalla passerella del Navilone alle paratoie di Pezzana (Comuni Pezzana e Asigliano),"no-kill, rilascio obbligatorio",marker,,"Zone protezione e no-kill Provincia di Vercelli, Decreto Presidente n.25 del 21/03/2024 (valide 2024-2028)"
Vercelli,VC-NK-01,no_kill,Stroppiana,Roggia Marcova,~200 m dalle paratoie a monte al ponte sulla SS Vercelli-Casale,"no-kill, rilascio obbligatorio",marker,,"Zone protezione e no-kill Provincia di Vercelli, Decreto Presidente n.25 del 21/03/2024 (valide 2024-2028)"
Vercelli,VC-SVPS-01,no_kill,Varallo,Torrente Mastallone,riserva turistica no-kill a mosca: dalla confluenza nel Sesia al Ponte delle Folle (oltre 1 km) - SVPS,acque gestite SVPS (Soc. Valsesiana Pescatori Sportivi) - serve permesso/tessera,linea (media),3781,"Zone protezione e no-kill Provincia di Vercelli, Decreto Presidente n.25 del 21/03/2024 (valide 2024-2028)"
Vercelli,VC-PROT-09,protezione,Borgosesia,Fiume Sesia,da 50 m a monte del ponte di Aranco a valle della diga di Montrigone per circa 50 m,zona di protezione - divieto di pesca,linea (bassa),2186,"Zone protezione e no-kill Provincia di Vercelli, Decreto Presidente n.25 del 21/03/2024 (valide 2024-2028)"
Vercelli,VC-PROT-10,protezione,Borgosesia,Rio Venenza,tra il Ponte Mulino e la confluenza con il Torrente Sessera (Frazione Guardella),zona di protezione - divieto di pesca,linea (bassa),6472,"Zone protezione e no-kill Provincia di Vercelli, Decreto Presidente n.25 del 21/03/2024 (valide 2024-2028)"
Vercelli,VC-PROT-07,protezione,Carisio,Torrente Elvo,tra il ponte dell'autostrada TO-MI e il confine con la provincia di Biella,zona di protezione - divieto di pesca,marker,,"Zone protezione e no-kill Provincia di Vercelli, Decreto Presidente n.25 del 21/03/2024 (valide 2024-2028)"
Vercelli,VC-PROT-05,protezione,Cigliano,Fiume Dora Baltea,tutto il tratto scorrente in comune di Cigliano,zona di protezione - divieto di pesca,marker,,"Zone protezione e no-kill Provincia di Vercelli, Decreto Presidente n.25 del 21/03/2024 (valide 2024-2028)"
Vercelli,VC-PROT-02,protezione,Greggio,Zone umide Parco Lame del Sesia,"zone umide e corsi d'acqua nel parco (escluso il corso principale del Sesia), Comuni di Greggio, Albano V.se, Oldenico, Villata",zona di protezione - divieto di pesca,marker,,"Zone protezione e no-kill Provincia di Vercelli, Decreto Presidente n.25 del 21/03/2024 (valide 2024-2028)"
Vercelli,VC-PROT-03,protezione,Pezzana,Roggia Bona,dal ponte della SP Pezzana-Caresana (C.na Castelletto) alle paratoie della C.na Bellincontro (Caresana),zona di protezione - divieto di pesca,linea (bassa),4359,"Zone protezione e no-kill Provincia di Vercelli, Decreto Presidente n.25 del 21/03/2024 (valide 2024-2028)"
Vercelli,VC-PROT-11,protezione,Quarona,Fiume Sesia,dalla diga di Doccio fino a 300 m a valle,zona di protezione - divieto di pesca,linea (media),240,"Zone protezione e no-kill Provincia di Vercelli, Decreto Presidente n.25 del 21/03/2024 (valide 2024-2028)"
Vercelli,VC-PROT-04,protezione,Saluggia,Fiume Dora Baltea,600 m presso lo stabilimento CNEN-EUREX: da 300 m a monte a 300 m a valle del canale di scarico,zona di protezione - divieto di pesca,linea (bassa),398,"Zone protezione e no-kill Provincia di Vercelli, Decreto Presidente n.25 del 21/03/2024 (valide 2024-2028)"
Vercelli,VC-PROT-06,protezione,Trino,Fiume Po e Roggione Scolmatore,1500 m prospicienti la Centrale E. Fermi + canale scolmatore Roggione (escluso tratto a monte della recinzione),zona di protezione - divieto di pesca,marker,,"Zone protezione e no-kill Provincia di Vercelli, Decreto Presidente n.25 del 21/03/2024 (valide 2024-2028)"
Vercelli,VC-PROT-01,protezione,Vercelli,Roggione di Vercelli,dal ponte della tangenziale (rotonda per San Germano) fino a 200 m a valle,zona di protezione - divieto di pesca,marker,,"Zone protezione e no-kill Provincia di Vercelli, Decreto Presidente n.25 del 21/03/2024 (valide 2024-2028)"
Vercelli,VC-PROT-08,protezione,Villarboit,Torrente Rovasenda,tra il ponte dell'autostrada TO-MI e il ponte della SP Albano-Villarboit,zona di protezione - divieto di pesca,linea (media),6493,"Zone protezione e no-kill Provincia di Vercelli, Decreto Presidente n.25 del 21/03/2024 (valide 2024-2028)"
Vercelli,VC-SVPS-07,riserva,Carcoforo,Torrente Egua,"Riserva alta montagna: dalla confluenza del torrente Dorca al ponte Molino (3 km), strada per Carcoforo - SVPS",acque gestite SVPS (Soc. Valsesiana Pescatori Sportivi) - serve permesso/tessera,linea (media),3518,"Zone protezione e no-kill Provincia di Vercelli, Decreto Presidente n.25 del 21/03/2024 (valide 2024-2028)"
