corso,tipo,comuni,gestione,inizio,sviluppo,termine,fishing_tour
TICINO,FIUME,GALLIATE,"(DIRITTO ESCLUSIVO) COMUNE DI GALLIATE - P.zza Martiri della Libertà, 28 – 28066 GALLIATE - GESTIONE A.P.D. GALLIATESI","Tutto il tratto del Ticino, fino alla linea mediana dal confine del territorio di Cameri a quello di Romentino","(il diritto si intende esteso ai derivati di Ticino, al Naviglio Langosco e alla Roggia Molinara scorrenti sul territorio comunale)",fino al Comune di Romentino,
TICINO,FIUME,MARANO TICINO,"(DIRITTO ESCLUSIVO) FIPSAS - Viale Tiziano, 70 - 00196 ROMA","Rami, valli, paludi, mortizze nel tratto che partendo dal sito al di sopra dell’Osteria di Zendone in confine co la Casa Castiglione di Marano Ticino a monte, discendendo compreso anche il Marone, fino allo sperone del Naviglio Grande vicino alla Casa detta della Camera",,fino allo sperone del Naviglio Grande vicino alla Casa detta della Camera,
TICINO,FIUME,BELLINZAGO,"(DIRITTO ESCLUSIVO) FIPSAS - Viale Tiziano, 70 - 00196 ROMA",Dallo Sperone o diga del Naviglio Grande (a monte) al comune di Bellinzago,,fino al Comune di Bellinzago,
TICINO,FIUME,OLEGGIO,"(DIRITTO ESCLUSIVO) FIPSAS - Viale Tiziano, 70 - 00196 ROMA",Dal Comune di Oleggio (a monte) al limite del diritto esclusivo riconosciuto al Comune di Galliate (con esclusione trVARIAZIONI ceduto al Parco del Ticino in Comune di Cameri),,,
TICINO,FIUME,POMBIA,"(DIRITTO ESCLUSIVO) FIPSAS - Viale Tiziano, 70 - 00196 ROMA",tratto scorrente in Comune di Pombia confinante a nord col Comune di Varallo Pombia e a sud col Comune di Marano Ticino,,fino al comune di Marano Ticino,
TICINO,FIUME,ROMENTINO,"(DIRITTO ESCLUSIVO) PORTA GUIDO MASSETTI PIETRO E FERDINANDO ( Via Pisani Dossi, 9 -20011 CORBETTA) GARIGIOLA ROBERTO, ENRICO E MARCO, ZAINA GIOVANNI (Via Verbano,8- 20081 Abbiategrasso) gestione AP.D. Trecatesi",Mt. 1300 circa Delimitazione:Ovest dal limite territoriale dei Comuni di Galliate e Romentino fino alla proprietà dei fratelli Bigatti?Nord: linea di confine tra i Comuni d Romentino di GalliateEst: confine proprietà f.lli Bigatti,,,
TICINO,FIUME,ROMENTINO,"(DIRITTO ESCLUSIVO) FIPSAS - Viale Tiziano, 70 - 00196 ROMA",Tratto fronteggiante gli stabili di sponda segnati ai numeri di mappa 430 e431 in territorio di Romentino (ex proprietà convento Magenta),,,
TICINO,FIUME,TRECATE,"(DIRITTO ESCLUSIVO) Comune di Trecate P.zza Cavour, 24 - 28069 TRECATE - gestione AP.D. Trecatesi","Rami, mortizze, ghiaia e lamoni del Ticino, dal confine del territorio di Romentino a quello di Cerano",,fino al Comune di Cerano,
TICINO,FIUME,VARALLO POMBIA,(DIRITTO ESCLUSIVO) COMUNE DI VARALLO POMBIA,Tratto del fiume Ticino scorrente in Comune di Varallo Pombia escluso trVARIAZIONI sotto descritto,,,
TICINO,FIUME,VARALLO POMBIA,"(DIRITTO ESCLUSIVO) FIPSAS - Viale Tiziano, 70 - 00196 ROMA","Ticino in Comune di Varallo Pombia a monte dal mappale 75, foglio 10 al confine inferiore in località cavetto all’attacco della Roggia Simonetta",,,
TICINO,FIUME - SPONDA PIEMONTESE,CASTELLETTO TICINO - VARALLO POMBIA -POMBIA - MARANO TICINO - OLEGGIO - BELLINZAGO NOV. - CAMERI,F.I.P.S.A.S.,CASTELLETTO TICINO,"dalla località Molino Nuovo di Dorbiè a sud fino al Sasso Picchiato in località Vernone Superiore e da qui sino al confine a sud dell'ex diritto esclusivo di pesca Barberi Attilio, tratto scorrente in Comune di Varallo Pombia. A nord dal confine territori",CAMERI,
TICINO,FIUME,ROMENTINO,F.I.P.S.A.S.,ROMENTINO,tratto da mt. 200 a monte del ponte dell'autostrada MI-TO fino a mt. 950 circa a valle dello stesso ponte,ROMENTINO,
TICINO,FIUME,CERANO,F.I.P.S.A.S.,CERANO,tratto del Comune di Cerano prospiciente l'estensione del Comune di Robecco sul Naviglio (compresi nei limiti fissati dal Naviglio Sforzesco escluso) comprese lanche e mortizze.,CERANO,FISHING TOUR
TICINO,FIUME + lanche e mortizze,TRECATE,ASSOCIAZ. PESCATORI TRECATESI,a 900 metri ponte dell'autostrada TO-MI a valle,tra il confine del Comune di Romentino e il confine del Comune di Cerano per 7000 metri,CERANO,FISHING TOUR
TICINO,FIUME,GALLIATE,ASSOC. PESCAT. DILETTANTI GALLIATESI,GALLIATE,"dalla linea partente dal Mulino del Pericolo passante a m. 58,20 a sud del fabbricato condominiale eretto all'inizio del primo scaricatore del Naviglio al confine territoriale tra il Comune di Galliate e il Comune di Romentino fino alla linea mezzana del",CONFINE COMUNE ROMENTINO,FISHING TOUR
TOMBA',FONTANA,CALTIGNAGA,A.P.D.,testa di fontana,tutto il corso,in Terdoppio,FISHING TOUR
TOMBONE,FONTANA,SOZZAGO,ASSOCIAZ. PESCATORI TRECATESI,Via dei SASSI in comune di SOZZAGO,4000 METRI,SOZZAGO,FISHING TOUR
TORNIELLI,FONTANA,"TERDOBBIATE, TORNACO, BORGOLAVEZZARO",LIBERA,TERDOBBIATE a SUD del paese,dopo breve percorso entra nel comune di TORNACO e nelle adiacenze della cascina MADDALENA entra nel comune di BORGOLAVEZZARO,BORGOLAVEZZARO località PRASON entra nella fontana STAZZA,
TRE ONCE,CAVO,SOZZAGO,ASSOCIAZIONE PESCATORI DI SOZZAGO,CASCINA MILORTA,1500 METRI,SOZZAGO,FISHING TOUR
TRECCIONE,SCARICATORE,GALLIATE,SOCIETA' PESCATORI DILETTANTI GALLIATESI,GALLIATE,"dalla linea partente dal Mulino del Pericolo passante a metri 58,20 a sud del fabbricato condominiale eretto all'inizio del primo scaricatore del Naviglio Langosco alla sua confluenza nel fiume Ticino","FIUME TICINO, 400 METRI A MONTE DEL PONTE DI FERRO SULLA STRADA STATALE 341",FISHING TOUR
TRIVOLZIO,FONTANA,FARA NOV.,,FARA NOV.,"tratto da 900 mt. Circa a valle della sorgente fino a circa 1500 mt. A valle del ponte a servizio della S.P. Fara-Borgo Vercelli, in Comune di Fara Nov.",FARA NOV.,
TROMBONE,FONTANA,SOZZAGO,LIBERA,nasce in prossimità della strada vecchia per TRECATE,breve tratto,s'immette nella frazione BOLOGNESA,
TURIGGIA,RIVO,ARMENO Affluenti del Rivo TURIGGIA nel comune di ARMENO: Rivo CROTTIGNOLA - Rivo PASQUAROLO - Rivo VALBONA,LIBERA,Alpe VERDIANA,Alpe SELLALUNGA,Torrente AGOGNA in comune di ARMENO,
URI',ROGGIA,BELLINZAGO - CAMERI,LIBERA,BELLINZAGO frazione CAVAGLIANO località BULE',dopo aver preso acqua da canale D.A.N. sottopassa la strada statale 32 entrando nel comune di CAMERI,CAMERI località cascina PORCELLA disperdendosi nelle campagne,
USELLINA,FONTANA,CASTELLAZZO NOV.SE,LIBERA,nasce in località cascina USELLINA in comune di CASTELLAZZO,scorre per breve percorso,in località cascina GORETTA confluisce nel cavo comune,
VALAZZA e sue derivazioni,FONTANA,CAMERI,F.I.P.S.A.S,CAMERI,dalla sorgente a monte della ferrovia NOVARA/LUINO al termine nel Terdoppio,CAMERI,
VALCHESIO (VALCHES),RIO,COLAZZA,LIBERA,Monte LA GUARDIA,COLAZZA,RIO TIASCHELLA in comune di COLAZZA,
VALDOLERA TOLDOLERA o (RIO VOLD),RIVO,ARMENO - SOVAZZA,LIBERA,Località AL GIOGO,Alpe MELCHIORRE Alpe CAVAGNINO,Torrente AGOGNA in comune di ARMENO,
VALMAGGIA,TORRENTE,POGNO,LIBERA,POGNO,POGNO,GRUA in Comune POGNO,
VECCHIA,FONTANA,TRECATE,ASSOCIAZ. PESCATORI TRECATESI,sotto ferrovia MILANO-TORINO,2000 METRI,TRECATE,
VECCHIA o VILLATA,ROGGIA,S. NAZZARO SESIA,LIBERA,nasce dal cavo montebello in località Sfregio,scorre in direzione sud del comune riceve le acque della fontana sopraccitata,confine con la provincia di VERCELLI in comune di VILLATA,
VERA,SCARICATORE,ROMENTINO,EST SESIA - GESTIONE APD,dallo Sforzesco,dagli edifici di presa in sponda sinistra del Naviglio Sforzesco in Comune di Romentino fino all'immissione in sponda destra del fiume Ticino (confine tra i Comuni di Romentino e Trecate),nelle lanche del Ticino,
VEVERA,TORRENTE,INVORIO - OLEGGIO C. - PARUZZARO - ARONA - MERCURAGO,LIBERA,I Ronchi (comune di Invorio),"PARUZZARO, MERCURAGO, ARONA",LAGO MAGGIORE in comune di ARONA,FISHING TOUR
VEVERI,CAVO DI,NOVARA,EST SESIA - GESTIONE APD,derivazione dal Canale Reg. Elena a Veveri,tutto il corso,termine dei rami destro e sinistro dello stesso Comune di Novara,
VIAZZA,ROGGIA,VICOLUNGO - RECETTO,LIBERA,VICOLUNGO a confine con il comune di RECETTO,BREVE TRATTO,s'immette nella roggia BOLGORA località BOSCHETTO in comune di NOVARA,
VIGEVANO,DIRAMATORE,GALLIATE - ROMENTINO - TRECATE - CERANO,EST SESIA - GESTIONE APD,imbocco dal Canale Cavour in Comune di Galliate,tutto il corso,confine provinciale,
VIOIA,FONTANA,LANDIONA,LIBERA,nasce in località terreni VIOIA zona cavalcavia A26,prosegue per circa 200 metri,si immette nella fontana MORMA zona cimitero,
VISCONTA ramo destro e ramo sinistro,CAVO,CASTELLAZZO NOV.SE - CASALEGGIO - SAN PIETRO MOSEZZO,LIBERA,RAMO SINISTRO nasce in località cascina Montalento dal cavo PIATTI in comune di CASALEGGIO RAMO DESTRO nasce dal canale D.A.N. in comune di CASTELLAZZO,RAMO DESTRO entra nel comune di CASALEGGIO e confluisce nel ramo sinistro RAMO SINISTRO costeggia la strada provinciale verso MOSEZZO. Riceve le acque del ramo destro quindi entra nel comune di SAN PIETRO,si immette nella roggia BIRAGA in comune di SAN PIETRO,
VOLD vedi VALDOLERA,RIO,ARMENO SOVAZZA,LIBERA,,,,
ZANOTTI,FONTANA,CASTELLAZZO NOV.SE - CASALEGGIO - SAN PIETRO MOSEZZO,LIBERA,pochi centinaia di metri prima del confine con Casaleggio in comune di CASTELLAZZO,"attraversa il territorio comunale di CASALEGGIO ad EST, quindi in località Trenta entra nel comune di S.PIETRO in frazione MOSEZZO",si perde tra le campagne in comune di S.PIETRO MOSEZZO,
ZENDONE o ACQUARINO,CAVO,POMBIA - MARANO TICINO,CONS. INTERCOM.ROGGIA MOLINARA,POMBIA,dalla testa del cavo sino all'immissione dello stesso nel fiume Ticino,MARANO TICINO,
ZUFFOLONE,RIO,DIVIGNANO - SUNO - VAPRIO,LIBERA,,DIVIGNANO SUNO VAPRIO,VAPRIO,
