corso,tipo,comuni,gestione,inizio,sviluppo,termine,fishing_tour
MOLINARA,ROGGIA,GALLIATE,"COMUNE DI GALLIATE - P.zza Martiri della Libertà, 28 – 28066 GALLIATE - GESTIONE A.P.D. GALLIATESI",GALLIATE,"dalla linea partente dal Mulino del Pericolo passante a m. 58,20 a sud del fabbricato condominiale eretto all'inizio del primo scaricatore del Naviglio al confine territoriale tra il Comune di Galliate e il Comune di Romentino",CONFINE CON ROMENTINO,FISHING TOUR
MOLINARA,ROGGIA (annessa roggia Biraga),VICOLUNGO - BIANDRATE,EST SESIA - GESTIONE APD,dalla Biraga a Vicolungo,tutto il corso,a perdersi nei capi a Biandrate,
MOLINARA,ROGGIA (annessa roggia Busca),CASALVOLONE (PISNENGO),EST SESIA - GESTIONE APD,dalla Busca,tutto il corso,a perdersi,FISHING TOUR
MOLINARA,ROGGIA,CAMERI,LIBERA,dal TICINO in comune di POMBIA,il tratto libero è solo nel comune di CAMERI all'interno del PARCO del TICINO,CAMERI in località cascina BORNAGO confluisce in una lanca in concessione ai privati (CAMERESI),
MOLINARA,ROGGIA (annessa roggia Busca),MANDELLO VITTA,EST SESIA - GESTIONE APD,dalla Busca,tutto il corso,,
MOLINARA,ROGGIA,CERANO - ROMENTINO - TRECATE,EST SESIA - GESTIONE APD,ROMENTINO dal confine della concessione di pesca GALLIATESI sita a circa 300 metri dalla cascina GERANO,"scorre interamente nel PARCO DEL TICINO e dopo aver oltrepassato la località MANDELLI entra in TRECATE frazione SAN MARTINO CERANO località BAR VENEZIA, quindi dopo aver sottopassato il naviglio SFORZESCO diventa in concessione FIPSAS",CERANO villa GIULIA confine con la provincia di PAVIA in comune di CASSOLNOVO,FISHING TOUR
MOLINARA,ROGGIA,BELLINZAGO - MARANO TICINO - OLEGGIO - POMBIA,CONS. INTERCOM. ROGGIA MOLINARA,POMBIA,dall'imbocco presso il Comune di Pombia fino al confine del territorio di Bellinzago compreso,BELLINZAGO,FISHING TOUR
MOLINARA,ROGGIA,COLAZZA,LIBERA,torrente TIASCHELLA,località LAVATOIO in comune di COLAZZA,Torrente TIASCA in comune di COLAZZA,
MOLINARA,ROGGIA,CAVAGLIO D'A. - FONTANETO D'AGOGNA - CAVAGLIETTO,LIBERA,FONTANETO (dal torrente Sizzone),CAVAGLIO D'AGOGNA CENTRO,CAVAGLIETTO (torrente Sizzone),
MOLINARA,ROGGIA (annessa roggia Busca),CASALEGGIO/GARGA RENGO - VICOLUNGO - BIANDRATE,EST SESIA - GESTIONE APD,dalla Busca,Tutto i corso,a perdersi,FISHING TOUR
MOLINARA,ROGGIA,MANDELLO VITTA - CASALEGGIO - CASTELLAZZO NOV.SE - SAN PIETRO MOSEZZO,LIBERA,nasce dalla roggia BUSCA in località cascina FAESINA in comune di MANDELLO,dopo breve percorso si divide in due rami: PRIMO RAMO si immette nella roggia BUSCA SECONDO RAMO continua nel comune di CASTELLAZZO dopo breve percorso sottopassa il canale D.A.N. entra in comune di CASALEGGIO. Poi,in località GARGARENGO entra in comune di S.PIETRO M. e scarica nel canale COVOUR,
MOLINARA,ROGGIA,LANDIONA - VICOLUNGO - BIANDRATE,EST SESIA - GESTIONE APD,nasce dal fiume SESIA al Km.15 dell'argine EST in comune di LANDIONA,attraversa Landiona incrocia nel D.A.N. in comune di VICOLUNGO per poi attraversare il centro abitato e proseguire nel comune di BIANDRATE,si disperde nelle campagne,FISHING TOUR
MOLINARA,ROGGIA,CRESSA,EST SESIA - GESTIONE FIPSAS,BORGOMANERO,dalla derivazione sul Torrente Agogna in Comune di Borgomanero allo sbocco del Cavo Borromeo in Comune di Cressa,CRESSA,FISHING TOUR
MOLINARA,ROGGIA,CERANO,F.I.P.S.A.S.,CERANO,ESTENZIONE DEL DIRITTO SUL FIUME TICINO,CERANO,FISHING TOUR
MOLINARA,ROGGIA (annessa roggia Busca),CARPIGNANO S.,EST SESIA - GESTIONE APD,dalla Busca,tutto i corso,in Busca,FISHING TOUR
MOLINARA,ROGGIA (annessa roggia Busca),SILLAVENGO,EST SESIA - GESTIONE APD,dalla Busca,tutto il corso,,FISHING TOUR
MOLINARA,ROGGIA (annessa roggia Biraga),BIANDRATE,EST SESIA - GESTIONE APD,DA Biraga di iandrate,tutto il corso,a perdersi nei campi a Biandrate,FISHING TOUR
MOLINARA,ROGGIA (annessa roggia Busca),CASALEGGIO,EST SESIA - GESTIONE APD,da Busca,tutto il corso,,FISHING TOUR
MOLINARA,ROGGIA (annessa roggia Busca),CASALBELTRAME (FISRENGO),EST SESIA - GESTIONE APD,dalla Busca,tutto il corso,a perdersi,FISHING TOUR
MOLINI DELLA VEDOVA,TORRENTE,POGNO,LIBERA,POGNO,POGNO,TORRENTE GRUA in Comune di POGNO,FISHING TOUR
MONFERRONA,FONTANA,VAPRIO,F.I.P.S.A.S.,VAPRIO A.,AFFLUENTE CAVO CID,VAPRIO A.,FISHING TOUR
MONTEBELLO,CAVO,RECETTO - SAN NAZZARO S.,EST SESIA - GESTIONE FIPSAS,,dal canale Cavour all'edificio di ferma per la derivazione del cavo Cremona,,
MONZA,LANCA DEL TICINO,ROMENTINO,EST SESIA - GESTIONE APD,,dal lato nord al 200 metri a monte de4l ponte A4,,FISHING TOUR
MORA,ROGGIA,NOVARA TRECATE,EST SESIA - GESTIONE FIPSAS,PERNATE,dalla deviazione del torrnte terdoppio in frazione Pernate al partitore di Trecate,TRECATE,FISHING TOUR
MORA,ROGGIA,ROMAGNANO S. - GHEMME - SIZZANO - FARA NOV.,EST SESIA - GESTIONE FIPSAS,ROMAGNANO S.,dall'ultima Centrale di Romagnano Sesia a valle fino alla presa per il canale di adduzione della roggia Busca in Comune di Fara Nov. -dalle porte di Romagnano S. fino lla centrale idroelettica in Regione Castellazzo,FARA NOV.,FISHING TOUR
MORA,ROGGIA,ROMAGNANO S. - PRATO SESIA,LIBERA,PRATO SESIA,ROMAGNANO SESIA,CAVO CRESPI in Comune di ROMAGNANO,
MORA,ROGGIA,FARA - BRIONA - S. PIETRO - NOVARA,A.P.D.,DAL Sesia,"tra l'abitato di Fara e il Torrente Terdoppio in Comune di Novara, compreso lo scaricatore in Agogna",NOVARA,FISHING TOUR
MORA,FONTANA,LANDIONA,LIBERA,nasce in località terreni MORA tra LANDIONA e SILLAVENGO,prosegue per circa un chilometro e mezzo,si immette nella fontana MORMA,
MORA CAMERONA,ROGGIA,SOZZAGO - CERANO,EST SESIA - GESTIONE FIPSAS,SOZZAGO,dal partitore della Mietta (Sozzago) al partitore della Comerona (Cerano) compreso il tratto in servizio del Mulino Santa Maria (Sozzago),CERANO,FISHING TOUR
MORA CERCA,ROGGIA,TRECATE CERANO,EST SESIA - GESTIONE FIPSAS,TRECATE,dal partitore mora di Trecate fino al partitore delle Staffe di Cerano,CERANO,
MORETTA,ROGGIA,TRECATE - CERANO,EST SESIA - GESTIONE FIPSAS,TRECATE,dal partitore Mora di Trecate fino alla confluenza nella roggia Camerona (Sozzago),CERANO,FISHING TOUR
MORINA,FONTANA,SILLAVENGO - LANDIONA - VICOLUNGO - CARPIGNANO SESIA,LIBERA,nasce in località campo nomadi in comune di CARPIGNANO SESIA. Continua in località cascina VALTOPPA in comune di SILLAVENGO,"dopo circa 200 metri entra in comune di LANDIONA - attraversa il centro abitato raccogliendo le acque delle fontane: MORA, VIDIA, BUGLIA, MALPAGA, PENNINO per entrare poi nel comune di VICOLUNGO",si immette nella roggia MOLINARA,
MOTTA,FONTANA,NOVARA FRAZ. PERNATE,ASS. PESC. FONTANA MOTTA,PERNATE,,PERNATE,FISHING TOUR
NEGRETTO,CAVO,CERANO,EST SESIA - GESTIONE FIPSAS,CERANO,ESTENSIONE DIRITTO SUL FIUME TICINO,CERANO,
NIBBIA di,FONTANONE,NIBBIA - S. PIETRO - CASALINO,FIPSAS,testa di fontana,tutto il corso,immissione nel cavo Cattedrale,
NIVELLINA E NIVELLINA IN TERDOPPIO,FONTANA + scaricatore,NOVARA - CAMERI,EST SESIA - GESTIONE APD,TESTA DI FONTANA in Comune di Novara,tutto il corso,confluenza nel torrente Terdoppio,FISHING TOUR
NUOVA,FONTANA,GRANOZZO,A.P.D.,testa di fontana,tutto il corso,confine provinciale,FISHING TOUR
NUOVA,FONTANA,TRECATE,ASSOCIAZ. PESCATORI TRECATESI,a fianco strada regionale 11 TRECATE- NOVARA,2500 metri,TRECATE,FISHING TOUR
